res_id,distr_id,name,city,latitude,longitude,zipcode,address,res_id_1,distr_id_1,name_1,city_1,latitude_1,longitude_1,zipcode_1,address_1
2779,60000247,HAS Juices & More,Thane,19.20896884,72.97223646,(blank),"Unit 17A, 2nd Floor, Viviana Mall, Subhash Nagar, Near Jupitor Hospital, Pokharan Road 2, Thane, Mumbai",49184,60000247,HAS Juices & More,Thane,19.20896884,72.97223646,(blank),"Unit 17A, 2nd Floor, Viviana Mall, Subhash Nagar, Near Jupitor Hospital, Pokharan Road 2, Thane, Mumbai"
2780,60000247,Coffee By Di Bella,Mumbai,19.12526038,72.82226242,(blank),"Shop 6, Shubham Co-op Housing Society, Juhu Versova Link Road, Versova, Andheri West",49221,60000247,Coffee By Di Bella,Mumbai,19.12526038,72.82226242,(blank),"Shop 6, Shubham Co-op Housing Society, Juhu Versova Link Road, Versova, Andheri West"
2781,60000247,Shabbir's Tawakkal Sweets,Mumbai,18.96005135,72.83097792,(blank),"94/96, Husainiya Marg, Pakmodiya Street, Mohammad Ali Road, Mumbai",49252,60000247,Shabbir's Tawakkal Sweets,Mumbai,18.96005135,72.83097792,(blank),"94/96, Husainiya Marg, Pakmodiya Street, Mohammad Ali Road, Mumbai"
2782,60000248,Farmhouse Sea N Sand,Mumbai,19.3295109,72.80477867,401201,"Pachubander, Vasai West, Vasai, Mumbai",49259,60000248,Farmhouse Sea N Sand,Mumbai,19.3295109,72.80477867,401201,"Pachubander, Vasai West, Vasai, Mumbai"
2783,60000248,Colaba Social,Mumbai,18.9218061,72.83247225,400001,"24, Ground Floor, Glen Rose Building, Behind Taj Mahal Palace, Apollo Bunder, Colaba, Mumbai",49261,60000248,Colaba Social,Mumbai,18.9218061,72.83247225,400001,"24, Ground Floor, Glen Rose Building, Behind Taj Mahal Palace, Apollo Bunder, Colaba, Mumbai"
2784,60000248,Surbhi Sweets,Mumbai,19.231127800899998,72.85793949,(blank),"69, Hegde Chawl, M.G. Road, Borivali East, Mumbai",49271,60000248,Surbhi Sweets,Mumbai,19.231127800899998,72.85793949,(blank),"69, Hegde Chawl, M.G. Road, Borivali East, Mumbai"
2785,60000248,Joss,Mumbai,19.0855196,72.83469312,(blank),"Savoy Chambers, Next To Mini Cooper Showroom, Santacruz West, Mumbai",49297,60000248,Joss,Mumbai,19.0855196,72.83469312,(blank),"Savoy Chambers, Next To Mini Cooper Showroom, Santacruz West, Mumbai"
2786,60000248,Avarya,Mumbai,19.08151018,72.83615559340001,400054,"Shop 8, King's Acres CHS Ltd, Saraswati Road, Near Podar International School, Santacruz West, Mumbai",49316,60000248,Avarya,Mumbai,19.08151018,72.83615559340001,400054,"Shop 8, King's Acres CHS Ltd, Saraswati Road, Near Podar International School, Santacruz West, Mumbai"
2787,60000248,Plush Retreat,Thane,19.171884,73.094277,421204,"Hedutane Gaon, Ambernath-Badlapur Pipeline Road, Near Katai Naka, Dombivali East, Mumbai",49328,60000248,Plush Retreat,Thane,19.171884,73.094277,421204,"Hedutane Gaon, Ambernath-Badlapur Pipeline Road, Near Katai Naka, Dombivali East, Mumbai"
2788,60000248,J.J Jalebi,Mumbai,18.96190439,72.83159215,(blank),"4, Pradhan Building, J.J. Junction, MS Ali Road, Kumbharwada, Mohammad Ali Road, Mumbai",49340,60000248,J.J Jalebi,Mumbai,18.96190439,72.83159215,(blank),"4, Pradhan Building, J.J. Junction, MS Ali Road, Kumbharwada, Mohammad Ali Road, Mumbai"
2789,60000248,Idris Cold Drink,Mumbai,18.96042424,72.83064264800001,(blank),"101, Pakmodiya Street, Bhendi Bazaar, Mohammad Ali Road, Mumbai",49341,60000248,Idris Cold Drink,Mumbai,18.96042424,72.83064264800001,(blank),"101, Pakmodiya Street, Bhendi Bazaar, Mohammad Ali Road, Mumbai"
